OriginalTime	Time	ProcessingTime	TimeStamp	MessageType	Address	Destination	Source	SendCounter	ReceiveCounter	Data...
2026-05-07 14:32:42.067	2026-05-07 14:32:42.067	2026-05-07 14:32:42.067	198939	FullCornerState	1	255	1	252	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:44.625	2026-05-07 14:32:44.625	2026-05-07 14:32:44.625	201490	FullCornerState	1	255	1	253	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:47.168	2026-05-07 14:32:47.168	2026-05-07 14:32:47.168	204040	FullCornerState	1	255	1	254	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:49.711	2026-05-07 14:32:49.711	2026-05-07 14:32:49.711	206589	FullCornerState	1	255	1	255	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:32:52.254	2026-05-07 14:32:52.254	2026-05-07 14:32:52.254	209140	FullCornerState	1	255	1	128	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:54.812	2026-05-07 14:32:54.812	2026-05-07 14:32:54.812	211690	FullCornerState	1	255	1	129	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:57.355	2026-05-07 14:32:57.355	2026-05-07 14:32:57.355	214240	FullCornerState	1	255	1	130	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:59.914	2026-05-07 14:32:59.914	2026-05-07 14:32:59.914	216790	FullCornerState	1	255	1	131	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:33:02.456	2026-05-07 14:33:02.456	2026-05-07 14:33:02.456	219339	FullCornerState	1	255	1	132	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:33:05.015	2026-05-07 14:33:05.015	2026-05-07 14:33:05.015	221890	FullCornerState	1	255	1	133	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:33:07.558	2026-05-07 14:33:07.558	2026-05-07 14:33:07.558	224440	FullCornerState	1	255	1	134	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
